,accuracy,time_fit,time_test,dataset_name,hyperparameter,rpoint,nb_per_class,classifier_name,number_series
0,0.9212827988338192,0.05268573760986328,0.24785637855529785,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,RSAST ACF&PACF,16
1,0.9591836734693877,0.04687309265136719,0.18748688697814941,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,16
2,0.9533527696793003,0.11745929718017578,1.1947996616363525,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,16
3,0.956268221574344,0.15625309944152832,1.5964601039886475,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,RSAST ACF&PACF,16
4,0.967930029154519,0.9725801944732666,2.2068264484405518,Chinatown,ROCKET LR: num_kernels=10_000,0,0,Rocket LR,16
5,0.9504373177842566,0.14061546325683594,2.4837002754211426,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,16
6,0.967930029154519,0.0625009536743164,0.31125545501708984,Chinatown,RDST: n_shapelets=10_000,0,0,RDST,16
7,0.9620991253644315,0.04685258865356445,0.14061474800109863,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,RSAST ACF&PACF,32
8,0.956268221574344,0.04687166213989258,0.1762101650238037,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,32
9,0.956268221574344,0.2343614101409912,1.5182793140411377,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,32
10,0.9475218658892128,0.3200194835662842,2.4217076301574707,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,RSAST ACF&PACF,32
11,0.9825072886297376,1.0120022296905518,1.3905222415924072,Chinatown,ROCKET LR: num_kernels=10_000,0,0,Rocket LR,32
12,0.9358600583090378,0.14060473442077637,1.0682671070098877,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,32
13,0.9795918367346939,0.11684560775756836,0.31720948219299316,Chinatown,RDST: n_shapelets=10_000,0,0,RDST,32
14,0.9416909620991254,0.049201011657714844,0.10023188591003418,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,RSAST ACF&PACF,64
15,0.9358600583090378,0.06647562980651855,0.18367576599121094,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,64
16,0.9475218658892128,0.2673046588897705,0.9838292598724365,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,64
17,0.9329446064139941,0.4174213409423828,1.9513649940490723,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,RSAST ACF&PACF,64
18,0.9766763848396501,1.000687599182129,1.4159624576568604,Chinatown,ROCKET LR: num_kernels=10_000,0,0,Rocket LR,64
19,0.9533527696793003,0.20370197296142578,1.1152856349945068,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,64
20,0.9737609329446064,0.26718568801879883,0.34995269775390625,Chinatown,RDST: n_shapelets=10_000,0,0,RDST,64
21,0.956268221574344,0.06672501564025879,0.1333456039428711,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,RSAST ACF&PACF,128
22,0.956268221574344,0.09011149406433105,0.15878915786743164,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,128
23,0.9329446064139941,0.5665795803070068,1.3176474571228027,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,128
24,0.9358600583090378,0.9841611385345459,2.635265350341797,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,RSAST ACF&PACF,128
25,0.9795918367346939,2.1022748947143555,1.4504318237304688,Chinatown,ROCKET LR: num_kernels=10_000,0,0,Rocket LR,128
26,0.9650145772594753,0.41530466079711914,1.069141149520874,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,128
27,0.9766763848396501,0.3674144744873047,0.39992642402648926,Chinatown,RDST: n_shapelets=10_000,0,0,RDST,128
28,0.9766763848396501,0.09979820251464844,0.08296012878417969,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,RSAST ACF&PACF,256
29,0.924198250728863,0.21753954887390137,0.21651530265808105,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,256
30,0.9329446064139941,1.0177862644195557,1.3493578433990479,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,256
31,0.9387755102040817,1.5525953769683838,2.2168126106262207,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,RSAST ACF&PACF,256
32,0.9825072886297376,2.5355095863342285,1.4510703086853027,Chinatown,ROCKET LR: num_kernels=10_000,0,0,Rocket LR,256
33,0.9329446064139941,0.7507054805755615,1.0845305919647217,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,256
34,0.9708454810495627,0.8168184757232666,0.46636009216308594,Chinatown,RDST: n_shapelets=10_000,0,0,RDST,256
35,0.967930029154519,0.18367910385131836,0.10020256042480469,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,RSAST ACF&PACF,512
36,0.9504373177842566,0.3005521297454834,0.18350672721862793,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,512
37,0.9329446064139941,2.1014983654022217,1.434614658355713,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,512
38,0.9416909620991254,3.0686893463134766,2.2014522552490234,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,RSAST ACF&PACF,512
39,0.9795918367346939,4.535431146621704,1.503720760345459,Chinatown,ROCKET LR: num_kernels=10_000,0,0,Rocket LR,512
40,0.9416909620991254,1.6836607456207275,1.1177608966827393,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,512
41,0.9766763848396501,2.1015701293945312,0.683030366897583,Chinatown,RDST: n_shapelets=10_000,0,0,RDST,512
42,0.9329446064139941,0.30060601234436035,0.09992313385009766,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,RSAST ACF&PACF,1024
43,0.9766763848396501,0.4836580753326416,0.15025949478149414,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=1,30,1,RSAST ACF&PACF,1024
44,0.9387755102040817,3.836649179458618,1.3324148654937744,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,RSAST ACF&PACF,1024
45,0.9358600583090378,6.057659149169922,2.150019645690918,Chinatown,ACF&PACF: n_random_points=30 nb_inst_per_class=10,30,10,RSAST ACF&PACF,1024
46,0.9795918367346939,7.789990425109863,1.5501725673675537,Chinatown,ROCKET LR: num_kernels=10_000,0,0,Rocket LR,1024
47,0.9329446064139941,3.1030495166778564,1.1672122478485107,Chinatown,SAST: min_shapelet_length=3 max_shapelet_length=m,0,0,SAST,1024
48,0.9766763848396501,5.971547842025757,1.1321849822998047,Chinatown,RDST: n_shapelets=10_000,0,0,RDST,1024
